VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
16,0.008,8,0.0795026,821.615,0.00125116
16,0.008,9,0.0795386,778.121,0.00125088
16,0.008,10,0.0798589,735.954,0.0012514
16,0.009,1,0.0797713,1156.99,0.00125082
16,0.009,2,0.0791671,1100.36,0.00125117
16,0.009,3,0.0791536,1075.24,0.00125119
16,0.009,4,0.0795373,1161.19,0.00125113
16,0.009,5,0.0803416,1132.09,0.00125103
16,0.009,6,0.0805985,1185.41,0.00125141
16,0.009,7,0.0825026,1058.81,0.00125141
16,0.009,8,0.079615,1126.53,0.00125146
16,0.009,9,0.0812318,1118.38,0.00125152
16,0.009,10,0.0791753,1171.69,0.00125079
16,0.01,1,0.078046,1548.92,0.00125103
16,0.01,2,0.0810994,1364.89,0.00125173
16,0.01,3,0.0815569,1411.57,0.00125155
16,0.01,4,0.0805608,1441.28,0.00125122
16,0.01,5,0.0813129,1468.01,0.00125148
16,0.01,6,0.0814596,1499.95,0.0012518
16,0.01,7,0.0790295,1457.43,0.00125116
16,0.01,8,0.0799293,1445.15,0.00125122
16,0.01,9,0.0800326,1442.87,0.00125111
16,0.01,10,0.0782118,1499.71,0.00125114
